2021-03-24 00:00:17,160 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:00:22,436 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(44) | [Exam  [id: 9, date of exam: 2020-11-15 00:00:00.0, mark: 16, id student: 1, id course: 203], Exam  [id: 10, date of exam: 2020-11-15 00:00:00.0, mark: 28, id student: 1, id course: 203], Exam  [id: 13, date of exam: 2020-05-03 00:00:00.0, mark: 15, id student: 1, id course: 201], Exam  [id: 14, date of exam: 2020-11-18 00:00:00.0, mark: 14, id student: 1, id course: 205]]
2021-03-24 00:10:31,863 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:10:37,222 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(44) | [Exam  [id: 9, date of exam: 2020-11-15 00:00:00.0, mark: 16, id student: 1, id course: 203], Exam  [id: 10, date of exam: 2020-11-15 00:00:00.0, mark: 28, id student: 1, id course: 203], Exam  [id: 13, date of exam: 2020-05-03 00:00:00.0, mark: 15, id student: 1, id course: 201], Exam  [id: 14, date of exam: 2020-11-18 00:00:00.0, mark: 14, id student: 1, id course: 205]]
2021-03-24 00:10:37,275 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(45) | Exam  [id: 10, date of exam: 2020-11-15 00:00:00.0, mark: 28, id student: 1, id course: 203]
2021-03-24 00:11:20,741 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:11:26,048 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(44) | [Exam  [id: 9, date of exam: 2020-11-15 00:00:00.0, mark: 16, id student: 1, id course: 203], Exam  [id: 10, date of exam: 2020-11-15 00:00:00.0, mark: 28, id student: 1, id course: 203], Exam  [id: 13, date of exam: 2020-05-03 00:00:00.0, mark: 15, id student: 1, id course: 201], Exam  [id: 14, date of exam: 2020-11-18 00:00:00.0, mark: 14, id student: 1, id course: 205]]
2021-03-24 00:11:26,116 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(45) | Exam  [id: 9, date of exam: 2020-11-15 00:00:00.0, mark: 16, id student: 1, id course: 203]
2021-03-24 00:11:40,528 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:11:45,735 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(44) | [Exam  [id: 9, date of exam: 2020-11-15 00:00:00.0, mark: 16, id student: 1, id course: 203], Exam  [id: 10, date of exam: 2020-11-15 00:00:00.0, mark: 28, id student: 1, id course: 203], Exam  [id: 13, date of exam: 2020-05-03 00:00:00.0, mark: 15, id student: 1, id course: 201], Exam  [id: 14, date of exam: 2020-11-18 00:00:00.0, mark: 14, id student: 1, id course: 205]]
2021-03-24 00:11:45,787 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(45) | 
2021-03-24 00:12:01,036 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:12:06,481 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(44) | [Exam  [id: 9, date of exam: 2020-11-15 00:00:00.0, mark: 16, id student: 1, id course: 203], Exam  [id: 10, date of exam: 2020-11-15 00:00:00.0, mark: 28, id student: 1, id course: 203], Exam  [id: 13, date of exam: 2020-05-03 00:00:00.0, mark: 15, id student: 1, id course: 201], Exam  [id: 14, date of exam: 2020-11-18 00:00:00.0, mark: 14, id student: 1, id course: 205]]
2021-03-24 00:12:06,542 [INFO] [main] [org.sg.test.ExamDaoTest] .test_get_exams_fromStudent(45) | Exam  [id: 13, date of exam: 2020-05-03 00:00:00.0, mark: 15, id student: 1, id course: 201]
2021-03-24 00:24:11,878 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:27:30,100 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-24 00:27:35,629 [INFO] [main] [org.sg.test.ExamDaoTest] .test_insert_exam_toStudent_forNewCourse(87) | [Exam  [id: 200, date of exam: Fri Jan 01 00:00:00 CET 2021, mark: 18, id student: 6, id course: 200]]
2021-03-24 00:31:18,480 [DEBUG] [main] [org.jboss.logging] .<clinit>(38) | Logging Provider: org.jboss.logging.Log4jLoggerProvider
